SensorA = target
SensorB = available
{bandsB; cwlsB; beta_hat} = bands, centre wavelengths, and coefficients in comma-delimited form
*) band numbers start counting at zero
**) centre wavelengths are expressed in nm
***) first coefficient listed is the constant

sensorA;bandA;cwlA;sensorB;{bandsB};{cwlsB};{beta_hat};AIC;var_y_given_X
landsat8_oli;2;482.042000;landsat7;0, 1, 2, 3, 4, 5;485.0, 560.0, 660.0, 835.0, 1650.0, 2220.0;0.000143629585686, 1.00245235158, 0.00657154545318, 0.00536037993115, -0.00152060808073, 0.00200595063815, -0.00497125124915;-1586.342864;0.000000
landsat8_oli;2;482.042000;rapideye;0, 1, 2, 3;475.0, 555.0, 657.5, 710.0;3.58262261272e-05, 0.976984536367, 0.039112980959, 0.00396543394374, -0.00876336558454;-1527.166250;0.000000
landsat8_oli;3;561.406500;sentinel3_olci;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17;400.0, 412.5, 442.5, 490.0, 510.0, 560.0, 620.0, 665.0, 673.75, 681.25, 708.75, 753.75, 761.25, 764.375, 767.5, 778.75, 865.0, 885.0;2.2572040657e-05, 0.00270570557047, -0.0190529684796, 0.0513002792326, -0.201300379646, 0.276140263286, 0.776340600486, 0.1830997152, -0.112331485478, -0.0712709714374, 0.125916657708, -0.0116570178536, -0.0186381601465, -0.0855772641204, 0.206648711816, 0.0159681668425, -0.14801191274, 0.091922630704, -0.0626918944407;-1816.272147;0.000000
landsat8_oli;3;561.406500;sentinel2;0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;443.929444843, 496.541069687, 560.006374949, 664.4491622, 703.886978943, 740.223452517, 782.473511978, 835.110186795, 864.80125832, 945.027529483, 1373.46188255;-0.000171589180712, 0.00518238987657, 0.0281348608202, 0.928442241564, 0.0399577956547, 0.0087783214635, -0.0145366896808, 0.0832819813031, -0.195126766061, 0.118099476442, 0.00315295546721, -0.00158000402995;-1642.758105;0.000000
landsat8_oli;3;561.406500;sentinel3_slstr;0, 1, 2, 3, 4;555.0, 659.0, 865.0, 1375.0, 1610.0;0.000419452992643, 0.896611578682, 0.11371887893, -0.00615204628028, -0.0072132622543, 0.00428660162111;-1423.875489;0.000001
landsat8_oli;3;561.406500;aqua;2, 3, 0, 1, 4, 5;466.07150204, 553.917076647, 645.8403499, 856.877853417, 1241.49758039, 1628.08776832;-0.000435780061129, 0.0268850499369, 0.86207671681, 0.130576338647, -0.00864891675357, 0.00961958788338, -0.00840342551752;-1452.481320;0.000001
landsat8_oli;3;561.406500;landsat5_tm;0, 1, 2, 3;485.0, 560.0, 660.0, 830.0;0.000545688443429, 0.0168037792529, 1.13126184175, -0.153123077598, 0.00477442195138;-1412.412865;0.000001
landsat8_oli;3;561.406500;landsat5_mss;0, 1, 2;550.0, 650.0, 750.0;-0.00140834126601, 1.03022748783, -0.0302526777648, 0.0334949022339;-1195.180530;0.000005
landsat8_oli;3;561.406500;terra;2, 3, 0, 1, 4, 5;465.742398799, 553.736229817, 646.295673296, 856.47984028, 1242.16286011, 1629.40788053;-0.000441406510842, 0.0256639112579, 0.862425291387, 0.131644275848, -0.00873155154811, 0.00975159443002, -0.0085644404301;-1448.004691;0.000001
landsat8_oli;3;561.406500;vgt;0, 1, 2, 3;459.52, 662.04, 834.709418838, 1649.64071856;-0.00162150682208, 0.742670426915, 0.326838485649, 0.0839017142942, -0.0225634253873;-829.948937;0.000092
